neighbourhood,outside,riverside
Kingston upon Thames,8250,6750
Croydon,8250,6000
Bromley,8250,6000
Hounslow,8250,6750
Ealing,9000,6000
Havering,8250,6750
Hillingdon,8250,6000
Harrow,8250,5250
Brent,9000,6000
Barnet,8250,5250
Lambeth,9000,6750
Southwark,9000,6750
Lewisham,9000,6750
Greenwich,9000,6750
Bexley,8250,6750
Enfield,8250,5250
Waltham Forest,8250,6000
Redbridge,8250,6000
Sutton,8250,6000
Richmond upon Thames,8250,6750
Merton,9000,6000
Wandsworth,9000,6750
Hammersmith and Fulham,9000,6750
Kensington and Chelsea,9750,6750
Westminster,9750,6750
Camden,9000,6000
Tower Hamlets,9750,6750
Islington,9750,6000
Hackney,9000,6000
Haringey,9000,5250
Newham,9000,6750
Barking and Dagenham,9000,6750
City of London,9750,6750
